e_datetime,game,gazex,gazey,headx,heady,headz,id,inner_height,inner_width,pitch,roll,u_name,yaw
2022-05-03 13:49:04,Connect4,1422,636,4.1,3.5,65.8,3039,722,1536,0.2,12.3,atest,-2.3
2022-05-03 13:49:11,Connect4,824,482,2.4,-0.6,37.8,3179,722,1536,-0.8,1.7,atest,2.3
2022-05-03 13:49:36,Connect4,537.6,314,-2,-2.6,38.9,3711,722,1536,-7.6,0.7,atest,-1.2
2022-05-03 13:50:06,Connect4,957,437,-2.9,-1.1,40,4313,722,1536,-8,2.2,atest,-4.3
2022-05-03 13:49:04,Connect4,1300.6,688.6,4.1,3.4,65.4,3040,722,1536,0.8,12.3,atest,-2
2022-05-03 13:49:04,Connect4,1457.4,802.4,4.1,3.4,65.3,3041,722,1536,0,12.4,atest,-1.9
2022-05-03 13:49:04,Connect4,1471.2,791.8,4.1,3.4,64.9,3042,722,1536,0.1,12.3,atest,-2
2022-05-03 13:49:04,Connect4,1460,783.2,4.1,3.4,65.1,3043,722,1536,-0.3,12.3,atest,-1.8
2022-05-03 13:49:04,Connect4,1462.2,802.6,4.1,3.4,64.8,3044,722,1536,-0.4,12.4,atest,-1.7
2022-05-03 13:49:04,Connect4,1491.4,816.8,4.1,3.5,65.5,3045,722,1536,-0.8,12.4,atest,-1.8
2022-05-03 13:49:04,Connect4,1942,1219,4.3,4,67.9,3046,722,1536,-1.6,12.2,atest,-1.6
2022-05-03 13:49:04,Connect4,2002.2,1236.6,4.2,3.9,67.3,3047,722,1536,-1,12.2,atest,-1.7
2022-05-03 13:49:04,Connect4,1859.4,1113.8,4.1,3.7,66.1,3048,722,1536,-0.4,12.4,atest,-1.9
2022-05-03 13:49:04,Connect4,1543,865.2,4.1,3.6,65.3,3049,722,1536,-0.4,12.5,atest,-2
2022-05-03 13:49:04,Connect4,1545.6,858.8,4,3.6,64.9,3050,722,1536,-0.8,12.5,atest,-2.1
2022-05-03 13:49:04,Connect4,1552.8,865,4,3.6,64.8,3051,722,1536,-0.5,13.1,atest,-2.2
2022-05-03 13:49:04,Connect4,1559.4,877.6,3.9,3.6,64.6,3052,722,1536,0,13.4,atest,-2.2
2022-05-03 13:49:04,Connect4,1568,879.6,3.9,3.5,64.4,3053,722,1536,-0.7,13.5,atest,-2.4
2022-05-03 13:49:04,Connect4,1569.6,882.2,4,3.6,64.4,3054,722,1536,-0.8,13.2,atest,-2.4
2022-05-03 13:49:04,Connect4,1553.8,855.6,4,3.5,64.7,3055,722,1536,-0.4,12.9,atest,-2.5
2022-05-03 13:49:04,Connect4,1563,879.4,4,3.6,64.6,3056,722,1536,-0.6,12.9,atest,-2.6
2022-05-03 13:49:05,Connect4,1499.6,850.6,4.1,3.3,64.2,3057,722,1536,-1.1,11.4,atest,-2.3
2022-05-03 13:49:05,Connect4,1271.4,811.2,4.2,3.3,64.4,3058,722,1536,-2.3,9.2,atest,-1.6
