e_datetime,game,gazex,gazey,headx,heady,headz,id,inner_height,inner_width,pitch,roll,u_name,yaw
2022-03-27 14:04:36,Pong,199,447,2.6,3.4,50.2,1,722,1536,-2.7,4.8,atest,2.3
2022-03-27 14:04:36,Pong,1030,642,2.5,3.5,50.7,2,722,1536,-2.7,4.4,atest,1.8
2022-03-27 14:04:36,Pong,1074,776,2.5,3.5,50.4,3,722,1536,-3,5,atest,2.1
2022-03-27 14:04:36,Pong,1032.4,799.2,2.5,3.5,50.7,4,722,1536,-3.2,4.3,atest,2.3
2022-03-27 14:04:36,Pong,950.2,801.4,2.5,3.5,50.5,5,722,1536,-2.8,4,atest,2.5
2022-03-27 14:04:36,Pong,1017.4,806.8,2.5,3.5,50.6,6,722,1536,-2.7,4.3,atest,2.5
2022-03-27 14:04:36,Pong,1033.8,807.8,2.5,3.5,50.5,7,722,1536,-2.9,4.3,atest,2.4
2022-03-27 14:04:36,Pong,1039.6,813.6,2.5,3.5,50.5,8,722,1536,-2.7,4,atest,2.5
2022-03-27 14:04:36,Pong,1042.2,808.8,2.5,3.4,50.7,9,722,1536,-2.6,3.9,atest,2.5
2022-03-27 14:04:36,Pong,1044.2,785.4,2.5,3.5,50.4,10,722,1536,-2.5,3.9,atest,2.5
2022-03-27 14:04:36,Pong,1063.8,774,2.5,3.5,50.4,11,722,1536,-2.2,4.2,atest,2.4
2022-03-27 14:04:36,Pong,1059.6,778.8,2.5,3.5,50.4,12,722,1536,-2.4,4.1,atest,2.5
2022-03-27 14:04:36,Pong,1055.6,767.2,2.5,3.5,50.4,13,722,1536,-1.9,4.1,atest,2.5
2022-03-27 14:04:36,Pong,1063.8,769.2,2.5,3.5,50.3,14,722,1536,-1.8,4.1,atest,2.5
2022-03-27 14:04:36,Pong,1078.8,780,2.5,3.5,50.2,15,722,1536,-1.8,4.2,atest,2.4
2022-03-27 14:04:36,Pong,1062.2,797,2.5,3.5,50.1,16,722,1536,-1.9,4.2,atest,2.2
2022-03-27 14:04:36,Pong,1059.8,804.8,2.5,3.5,50.1,17,722,1536,-2.1,4.1,atest,2.2
2022-03-27 14:04:37,Pong,1066.2,775.2,2.5,3.6,50.2,18,722,1536,-2.9,4.2,atest,2.2
2022-03-27 14:04:37,Pong,1060.6,757.2,2.4,4,50.6,19,722,1536,-3.4,3.7,atest,2.2
2022-03-27 14:04:37,Pong,1039.6,829.8,2.2,4.7,51.1,20,722,1536,-3.3,2.5,atest,1.2
2022-03-27 14:04:37,Pong,1048,784.4,2.2,4.5,51.1,21,722,1536,-2.8,3,atest,1.7
2022-03-27 14:04:37,Pong,1145,1027,2.3,4.8,51.3,22,722,1536,-3.6,3.1,atest,1.4
2022-03-27 14:04:37,Pong,1209,1229,2.5,4.9,52,23,722,1536,-3.2,3.5,atest,2
2022-03-27 14:04:37,Pong,1180.8,1279.8,2.6,4.9,51.7,24,722,1536,-3,3.5,atest,2.5
2022-03-27 14:04:37,Pong,1062,1168,2.5,4.7,50.8,25,722,1536,-3.1,3.3,atest,2.9
2022-03-27 14:04:37,Pong,1078,855,2.6,4.6,50.2,26,722,1536,-3.3,4,atest,3.1
