e_datetime,game,gazex,gazey,headx,heady,headz,id,inner_height,inner_width,pitch,roll,u_name,yaw
2022-04-17 16:25:44,TicTacToe,770,385,0.9,0.9,44.5,1,722,1536,-3,-2.8,atest,1.4
2022-04-17 16:25:44,TicTacToe,737.8,380.4,0.9,0.9,44.4,2,722,1536,-2.8,-2.7,atest,1.9
2022-04-17 16:25:44,TicTacToe,736.8,383.2,0.9,0.9,44.6,3,722,1536,-2.9,-2.7,atest,1.7
2022-04-17 16:25:44,TicTacToe,726.2,395.8,0.9,0.9,44.5,4,722,1536,-2.8,-2.7,atest,1.5
2022-04-17 16:25:44,TicTacToe,724.8,391,0.9,0.9,44.7,5,722,1536,-2.8,-2.8,atest,1.6
2022-04-17 16:25:44,TicTacToe,729.8,397.8,0.9,0.9,44.7,6,722,1536,-2.8,-2.8,atest,1.6
2022-04-17 16:25:44,TicTacToe,730.8,394.8,0.9,0.8,44.7,7,722,1536,-3,-2.7,atest,1.6
2022-04-17 16:25:45,TicTacToe,730.2,387.6,0.8,0.8,44.5,8,722,1536,-2.9,-2.6,atest,1.7
2022-04-17 16:25:45,TicTacToe,727.6,389.6,0.8,0.8,45.1,9,722,1536,-2.9,-2.6,atest,1.6
2022-04-17 16:25:45,TicTacToe,736,387.6,0.8,0.7,44.6,10,722,1536,-2.4,-2.5,atest,1.6
2022-04-17 16:25:45,TicTacToe,738.8,367,0.6,0.5,44.9,11,722,1536,-1.7,-2.8,atest,1.6
2022-04-17 16:25:45,TicTacToe,747,369.4,0.3,0.1,46.1,12,722,1536,-2.4,-2.6,atest,1.7
2022-04-17 16:25:45,TicTacToe,742.8,407.6,-0.1,-0.3,47.7,13,722,1536,-4.7,-2.8,atest,1.6
2022-04-17 16:25:45,TicTacToe,782,377.6,-0.7,-0.7,49.4,14,722,1536,-4.4,-2.9,atest,1.2
2022-04-17 16:25:45,TicTacToe,800.6,365.2,-1.4,-1,51.9,15,722,1536,-6.1,-3.5,atest,0.5
2022-04-17 16:25:45,TicTacToe,793.4,395,-2.1,-1,54.5,16,722,1536,-7.7,-4.6,atest,0
2022-04-17 16:25:45,TicTacToe,798.2,409,-2.6,-0.9,56.4,17,722,1536,-8.5,-4.9,atest,-0.3
2022-04-17 16:25:45,TicTacToe,823.2,430.6,-3.3,-0.3,60.7,18,722,1536,-10.8,-6.1,atest,-0.7
2022-04-17 16:25:45,TicTacToe,807.2,416,-3,-0.6,58.3,19,722,1536,-9.9,-5.7,atest,-0.4
2022-04-17 16:25:45,TicTacToe,840.2,465.4,-3.5,0.2,63,20,722,1536,-10.9,-6.3,atest,-1
2022-04-17 16:25:45,TicTacToe,868.4,499.8,-3.7,1.1,65.8,21,722,1536,-11.6,-5.7,atest,-1
2022-04-17 16:25:45,TicTacToe,883.6,465,-3.8,1.9,68.3,22,722,1536,-9.7,-5.6,atest,-1.3
2022-04-17 16:25:45,TicTacToe,920.4,477,-3.9,2.3,69.3,23,722,1536,-11.7,-5.5,atest,-1.7
2022-04-17 16:25:45,TicTacToe,936.6,508.2,-3.9,2.6,69.9,24,722,1536,-12.4,-5.2,atest,-2
2022-04-17 16:25:45,TicTacToe,958.2,517.2,-4,2.9,70.9,25,722,1536,-12.9,-4.7,atest,-2.3
2022-04-17 16:25:45,TicTacToe,964.2,521.2,-4.1,3.2,72.2,26,722,1536,-13.5,-4.3,atest,-2.7
2022-04-17 16:25:45,TicTacToe,965.4,519,-4.2,3.4,73.2,27,722,1536,-13.8,-4.2,atest,-2.6
2022-04-17 16:25:46,TicTacToe,988.4,516,-4.3,3.4,73.6,28,722,1536,-14,-3.9,atest,-2.6
2022-04-17 16:25:46,TicTacToe,1004.4,542.6,-4.3,3.5,73.8,29,722,1536,-14.9,-3.9,atest,-2.7
2022-04-17 16:25:46,TicTacToe,1003.6,547,-4.4,3.7,74.6,30,722,1536,-15.9,-3.8,atest,-2.8
2022-04-17 16:25:46,TicTacToe,1025.4,582,-4.4,3.8,75,31,722,1536,-16,-3.8,atest,-3
2022-04-17 16:25:46,TicTacToe,1034.4,587.8,-4.4,3.8,75.5,32,722,1536,-17.1,-3.3,atest,-3.1
2022-04-17 16:25:46,TicTacToe,1043.6,579.8,-4.4,4,76.6,33,722,1536,-17.7,-3.1,atest,-3.3
2022-04-17 16:25:46,TicTacToe,1067.4,636.2,-4.3,4.1,77.2,34,722,1536,-18.4,-2.8,atest,-3.4
2022-04-17 16:25:46,TicTacToe,1261,963,-4.3,4.2,77.5,35,722,1536,-18,-3.2,atest,-3.6
2022-04-17 16:25:46,TicTacToe,1312,1384,-4.1,4.3,78.2,36,722,1536,-18.6,-2.4,atest,-3.4
2022-04-17 16:25:46,TicTacToe,914,1465,-3.7,4.6,79.1,37,722,1536,-18.2,-1.6,atest,-3.2
2022-04-17 16:25:46,TicTacToe,1064,674,-3.7,4.5,77.6,38,722,1536,-16.6,-0.6,atest,-3.1
2022-04-17 16:25:46,TicTacToe,1061.6,584.8,-3,4.7,77.2,39,722,1536,-16.2,-0.4,atest,-3.1
2022-04-17 16:25:46,TicTacToe,894,456,-2.9,4.7,77.1,40,722,1536,-16.2,-1.3,atest,-3
2022-04-17 16:25:46,TicTacToe,740,474,-2.8,4.7,76.9,41,722,1536,-16.3,-2,atest,-2.9
2022-04-17 16:25:46,TicTacToe,942,413,-2.5,4.6,76.4,42,722,1536,-17.1,-0.3,atest,-2.8
2022-04-17 16:25:46,TicTacToe,958.6,445.2,-2.3,4.4,76.2,43,722,1536,-16.5,0.1,atest,-2.7
2022-04-17 16:25:46,TicTacToe,973.6,447.8,-2.1,4.3,76,44,722,1536,-16.2,0.4,atest,-2.6
2022-04-17 16:25:46,TicTacToe,990.4,455.4,-1.8,4,75.5,45,722,1536,-15.6,0.5,atest,-2.5
2022-04-17 16:25:46,TicTacToe,980.2,470.8,-1.2,3.5,74.2,46,722,1536,-15.8,0.1,atest,-2.3
2022-04-17 16:25:46,TicTacToe,975.2,514.2,-0.8,3.2,73.6,47,722,1536,-16.6,-0.4,atest,-2.1
2022-04-17 16:25:46,TicTacToe,865.4,555.4,-0.5,2.8,72.8,48,722,1536,-13.6,-0.7,atest,-1.7
2022-04-17 16:25:46,TicTacToe,753.2,523.4,0.2,2.2,70.9,49,722,1536,-13.8,-0.7,atest,-1.6
2022-04-17 16:25:46,TicTacToe,752.2,585.8,0.7,1.7,69.3,50,722,1536,-11.5,-0.8,atest,-1.3
2022-04-17 16:25:46,TicTacToe,776.4,593,0.8,1.5,68.7,51,722,1536,-11.7,0.4,atest,-1.4
2022-04-17 16:25:46,TicTacToe,767.2,587.2,1,1.3,67.6,52,722,1536,-9.4,-0.4,atest,-1.4
2022-04-17 16:25:46,TicTacToe,773,569.2,1.1,1.1,66.7,53,722,1536,-8.6,-0.5,atest,-1.5
2022-04-17 16:25:47,TicTacToe,771,371,1.2,0.6,63,54,722,1536,-6.2,0.1,atest,-1.9
2022-04-17 16:25:47,TicTacToe,781.6,409.2,1.2,0.4,61.9,55,722,1536,-4.8,0.7,atest,-2.2
2022-04-17 16:25:47,TicTacToe,798,445.2,1.2,0.2,59.9,56,722,1536,-3.9,1.2,atest,-2.3
2022-04-17 16:25:47,TicTacToe,817,458.6,1.2,-0.1,58.3,57,722,1536,-3.8,1.2,atest,-2.2
2022-04-17 16:25:47,TicTacToe,826.4,455.2,1.2,-0.1,57.8,58,722,1536,-3.6,1.1,atest,-2.2
2022-04-17 16:25:47,TicTacToe,800.6,463.4,0.8,-0.6,51,59,722,1536,-1,-0.2,atest,-0.8
2022-04-17 16:25:47,TicTacToe,787.4,465.2,0.8,-0.7,50.3,60,722,1536,-0.3,-0.6,atest,-0.7
2022-04-17 16:25:47,TicTacToe,760.6,457.6,0.7,-0.7,49.5,61,722,1536,0,-0.7,atest,-0.7
2022-04-17 16:25:47,TicTacToe,745.2,443.2,0.7,-0.7,48.1,62,722,1536,0.1,-0.6,atest,-0.6
2022-04-17 16:25:47,TicTacToe,736.8,455.8,0.7,-0.8,46.9,63,722,1536,0.4,-0.8,atest,-0.5
2022-04-17 16:25:47,TicTacToe,721.8,470.2,0.7,-0.8,45.9,64,722,1536,0.4,-0.9,atest,-0.5
2022-04-17 16:25:47,TicTacToe,714,468.8,0.7,-0.8,43.8,65,722,1536,0.8,-0.7,atest,0.5
2022-04-17 16:25:47,TicTacToe,712.2,463.6,0.8,-0.9,42.2,66,722,1536,1.8,-0.5,atest,0.5
2022-04-17 16:25:47,TicTacToe,703,467.8,0.9,-0.9,41.7,67,722,1536,2.5,-0.6,atest,0.5
2022-04-17 16:25:47,TicTacToe,650,477.2,1,-0.9,40.7,68,722,1536,2.8,-0.9,atest,0.6
2022-04-17 16:25:47,TicTacToe,641.2,471.2,1,-0.9,40.2,69,722,1536,3,-1.4,atest,0.7
2022-04-17 16:25:47,TicTacToe,606.4,465.4,1.1,-0.8,38.9,70,722,1536,3,-2.3,atest,0.7
2022-04-17 16:25:47,TicTacToe,577.6,453.4,1.2,-0.8,38.5,71,722,1536,3.4,-3.4,atest,1
2022-04-17 16:25:47,TicTacToe,518.4,421.8,1.3,-0.8,38.3,72,722,1536,3.5,-4,atest,1
2022-04-17 16:25:47,TicTacToe,475.4,402,1.3,-0.7,38.1,73,722,1536,3.7,-4.3,atest,1
2022-04-17 16:25:47,TicTacToe,494,385.2,1.5,-0.7,37.5,74,722,1536,3.5,-4.4,atest,1
2022-04-17 16:25:47,TicTacToe,510.4,366.4,1.5,-0.7,37.4,75,722,1536,3,-4.3,atest,1
2022-04-17 16:25:47,TicTacToe,560,278.8,1.5,-0.7,37.4,76,722,1536,2.9,-4.3,atest,1
2022-04-17 16:25:47,TicTacToe,599.4,151.2,1.5,-0.6,37.3,77,722,1536,2.7,-4.2,atest,0.9
2022-04-17 16:25:47,TicTacToe,601,34.6,1.5,-0.6,37.3,78,722,1536,2.5,-4.1,atest,0.9
2022-04-17 16:25:47,TicTacToe,626,-20.4,1.5,-0.6,37.3,79,722,1536,2.4,-4.1,atest,0.9
2022-04-17 16:25:48,TicTacToe,466,273,1.6,-0.6,37.3,80,722,1536,3.9,-4.2,atest,0.9
2022-04-17 16:25:48,TicTacToe,454.4,237.6,1.6,-0.4,37.2,81,722,1536,4,-4.8,atest,1.2
2022-04-17 16:25:48,TicTacToe,440.8,222.4,1.6,-0.3,37.1,82,722,1536,4.3,-4.9,atest,1.2
2022-04-17 16:25:48,TicTacToe,643,325,1.7,-0.2,36.9,83,722,1536,4.3,-1.6,atest,0.8
2022-04-17 16:25:48,TicTacToe,663,333.4,1.8,-0.2,36.6,84,722,1536,4.4,-1.6,atest,0.6
2022-04-17 16:25:48,TicTacToe,658.6,338.8,1.9,-0.1,36.4,85,722,1536,4.5,-1.9,atest,0.5
2022-04-17 16:25:48,TicTacToe,648.2,335,2.1,-0.1,36,86,722,1536,6.4,-2,atest,0.3
2022-04-17 16:25:48,TicTacToe,299,130,2.2,-0.1,35.7,87,722,1536,7.7,-1.9,atest,0.3
2022-04-17 16:25:48,TicTacToe,611,338,2.4,-0.2,35.3,88,722,1536,5.9,-2.2,atest,0.1
2022-04-17 16:25:48,TicTacToe,629,354.4,2.7,-0.4,34.5,89,722,1536,4.9,-2.8,atest,0.2
2022-04-17 16:25:48,TicTacToe,656,372.6,3.1,-0.7,33.5,90,722,1536,5.1,-2.2,atest,0.1
2022-04-17 16:25:48,TicTacToe,652.6,377.4,3.3,-0.8,32.8,91,722,1536,5.4,-1.8,atest,0.5
2022-04-17 16:25:48,TicTacToe,692.6,352.8,3.5,-0.9,32.5,92,722,1536,5.9,-1.3,atest,1
2022-04-17 16:25:48,TicTacToe,751.2,345.6,3.8,-0.9,31.8,93,722,1536,6,-1,atest,1.6
2022-04-17 16:25:48,TicTacToe,828.4,303,4.1,-0.9,30.8,94,722,1536,6.3,-0.6,atest,1.3
2022-04-17 16:25:48,TicTacToe,836,306.6,4.2,-0.9,30.5,95,722,1536,6.7,-0.7,atest,1.3
2022-04-17 16:25:48,TicTacToe,815.6,325.2,4.2,-0.9,30.4,96,722,1536,6.5,-1.1,atest,1.2
2022-04-17 16:25:48,TicTacToe,803,324.2,4.3,-0.9,29.9,97,722,1536,7.3,-0.8,atest,1
2022-04-17 16:25:48,TicTacToe,811.2,316.4,4.5,-0.8,29.4,98,722,1536,7.1,-1.4,atest,0.8
2022-04-17 16:25:48,TicTacToe,794.2,311.8,4.5,-0.7,29.1,99,722,1536,7.1,-1.4,atest,0.7
2022-04-17 16:25:48,TicTacToe,833,279.8,4.6,-0.6,28.7,100,722,1536,6.8,-0.5,atest,0.7
2022-04-17 16:25:48,TicTacToe,966,12,4.6,-0.6,28.4,101,722,1536,6.9,0.4,atest,0.7
2022-04-17 16:25:49,TicTacToe,962,180,4.5,-0.5,28.2,102,722,1536,8,1.7,atest,0
2022-04-17 16:25:49,TicTacToe,757,339,4.3,-0.6,28.2,103,722,1536,7.8,0.9,atest,0.1
2022-04-17 16:25:49,TicTacToe,755.6,354.4,4,-0.6,28.4,104,722,1536,7.3,-0.1,atest,0.1
2022-04-17 16:25:49,TicTacToe,739.8,364,3.7,-0.6,28.7,105,722,1536,7.5,-0.9,atest,0.1
2022-04-17 16:25:49,TicTacToe,733.2,370,3.3,-0.7,29.2,106,722,1536,7.3,-1.4,atest,0
2022-04-17 16:25:49,TicTacToe,720.2,372.6,3.3,-0.7,29.5,107,722,1536,7.1,-3,atest,0
2022-04-17 16:25:49,TicTacToe,663,378.2,3.4,-0.7,30.5,108,722,1536,7.2,-5.3,atest,0
2022-04-17 16:25:49,TicTacToe,593.6,381.8,3.8,-0.7,31.1,109,722,1536,6.6,-8.7,atest,-0.1
2022-04-17 16:25:49,TicTacToe,537.8,389.4,4.2,-0.6,31.7,110,722,1536,5.6,-9.8,atest,0.2
2022-04-17 16:25:49,TicTacToe,537.2,399.6,4.5,-0.6,31.9,111,722,1536,5.2,-10.6,atest,0.3
2022-04-17 16:25:49,TicTacToe,747,324,4.9,-0.5,32.3,112,722,1536,4.2,-10.8,atest,1.2
2022-04-17 16:25:49,TicTacToe,752.8,315.8,5.4,-0.5,32.6,113,722,1536,4.4,-10.7,atest,1.2
2022-04-17 16:25:49,TicTacToe,728,315.6,5.6,-0.5,32.7,114,722,1536,4.3,-9.9,atest,1.6
2022-04-17 16:25:49,TicTacToe,783,112,6,-0.4,32.9,115,722,1536,4,-8.6,atest,1.7
2022-04-17 16:25:49,TicTacToe,835.2,128.6,6.2,-0.4,32.9,116,722,1536,4,-7.6,atest,1.7
2022-04-17 16:25:49,TicTacToe,827,129.8,6.4,-0.4,32.9,117,722,1536,3.9,-7.3,atest,1.7
2022-04-17 16:25:49,TicTacToe,830,130.8,6.4,-0.4,32.8,118,722,1536,3.9,-7.2,atest,1.7
2022-04-17 16:25:49,TicTacToe,825.6,122,6.4,-0.4,32.8,119,722,1536,3.9,-7.1,atest,1.7
2022-04-17 16:25:49,TicTacToe,801.6,75.8,6.4,-0.4,32.7,120,722,1536,3.9,-7,atest,1.6
2022-04-17 16:25:49,TicTacToe,795.8,62.6,6.4,-0.3,32.8,121,722,1536,3.9,-6.9,atest,1.6
2022-04-17 16:25:49,TicTacToe,793.6,45.6,6.4,-0.3,32.8,122,722,1536,3.8,-6.7,atest,1.6
2022-04-17 16:25:49,TicTacToe,778.2,59,6.3,-0.3,32.5,123,722,1536,4.7,-5.4,atest,0.9
2022-04-17 16:25:49,TicTacToe,796.8,-23.2,6.2,-0.3,32.3,124,722,1536,4.9,-4.8,atest,0.9
2022-04-17 16:25:49,TicTacToe,849.8,-208.6,6.1,-0.3,32.1,125,722,1536,4.8,-4.3,atest,0.9
2022-04-17 16:25:50,TicTacToe,856,-119.2,5.7,-0.3,31.5,126,722,1536,5.3,-3.9,atest,0.9
2022-04-17 16:25:50,TicTacToe,808,1.6,4.5,-0.3,31.1,127,722,1536,4.8,-2.9,atest,-0.3
2022-04-17 16:25:50,TicTacToe,765.2,51.8,4.1,-0.4,31,128,722,1536,5.1,-2.9,atest,-0.2
2022-04-17 16:25:50,TicTacToe,753.4,68.6,3.3,-0.4,31,129,722,1536,5.6,-3.9,atest,-0.3
2022-04-17 16:25:50,TicTacToe,796.6,69.8,2.6,-0.4,30.8,130,722,1536,4.5,-1.4,atest,-1.2
2022-04-17 16:25:50,TicTacToe,813.2,74.8,1,-0.6,30.5,131,722,1536,4.7,-1.6,atest,-1.4
2022-04-17 16:25:50,TicTacToe,812.4,81.6,0.7,-0.6,30.4,132,722,1536,5.1,-2,atest,-1.4
2022-04-17 16:25:50,TicTacToe,810.8,81.2,-0.1,-0.7,30.2,133,722,1536,5.2,-1.6,atest,-1.6
2022-04-17 16:25:50,TicTacToe,792.8,93.4,-0.4,-0.8,30.2,134,722,1536,4.9,-2.7,atest,-1.6
2022-04-17 16:25:50,TicTacToe,783.2,101.2,-0.9,-0.8,30.2,135,722,1536,4.7,-3.5,atest,-1.8
2022-04-17 16:25:50,TicTacToe,761.6,103.6,-1.1,-0.8,30.1,136,722,1536,4.6,-3.1,atest,-2.5
2022-04-17 16:25:50,TicTacToe,747,115,-1.5,-0.8,30,137,722,1536,4.7,-3,atest,-2.5
2022-04-17 16:25:50,TicTacToe,740.6,111.4,-1.7,-0.8,29.9,138,722,1536,4.8,-3,atest,-2.5
2022-04-17 16:25:50,TicTacToe,731,105.2,-1.8,-0.9,29.8,139,722,1536,4.8,-3,atest,-2.5
